population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality
34811059.00,2.73,0.10,3.33,24.60,12314.00,129.90,75.30,29.50
19842251.00,6.43,2.00,1.47,22.25,7103.00,130.12,58.30,192.00
40381860.00,2.24,0.50,4.79,27.50,14646.00,118.89,75.50,15.40
2975029.00,1.40,0.10,1.80,25.36,7383.00,132.81,72.50,20.00
21370348.00,1.96,0.10,18.02,27.56,41312.00,117.38,81.50,5.20
8331465.00,1.41,0.30,8.18,26.47,43952.00,124.14,80.40,4.60
8868713.00,1.99,0.10,5.11,25.65,14365.00,128.60,70.60,43.30
348587.00,1.89,3.10,3.13,27.25,24373.00,124.39,72.20,14.50
148252473.00,2.38,0.06,0.32,20.40,2265.00,125.03,68.40,55.90
277315.00,1.83,1.30,6.01,26.38,16075.00,126.39,75.30,15.40
9526453.00,1.42,0.20,6.49,26.16,14488.00,129.80,70.10,7.20
10779155.00,1.82,0.20,9.80,26.76,41641.00,121.82,79.40,4.70
306165.00,2.91,2.40,1.36,27.02,8293.00,120.92,70.70,20.10
8973525.00,5.27,1.20,0.54,22.42,1646.00,130.27,63.20,116.30
694990.00,2.51,0.20,0.60,22.82,5663.00,125.13,67.60,48.10
9599916.00,3.48,0.20,1.43,24.43,5066.00,122.42,70.90,52.00
1967866.00,2.86,24.90,2.55,22.13,13858.00,133.13,61.20,63.80
194769696.00,1.90,0.45,2.02,25.79,13906.00,124.87,73.90,18.60
7513646.00,1.43,0.10,6.69,26.54,15368.00,128.47,73.20,13.70
14709011.00,6.04,1.20,0.11,21.27,1358.00,130.67,59.40,130.40
8821795.00,6.48,3.50,0.03,21.50,723.00,134.20,57.40,108.60
13933660.00,3.05,0.60,0.29,20.80,2442.00,117.55,66.20,51.50
19570418.00,5.17,5.30,0.30,23.68,2571.00,127.28,56.60,113.80
33363256.00,1.68,0.20,16.35,27.45,41468.00,118.06,80.70,5.80
11139740.00,6.81,3.40,0.05,21.49,1753.00,127.86,54.80,168.00
16645940.00,1.89,0.40,4.24,27.02,18698.00,125.54,78.90,8.90
44901660.00,2.43,0.50,1.48,24.94,10489.00,124.02,75.10,19.70
665414.00,5.05,0.06,0.18,22.06,1440.00,132.14,62.60,91.20
3832771.00,5.10,3.50,0.38,21.87,5022.00,131.69,58.60,72.60
4429506.00,1.91,0.30,1.91,26.48,12219.00,121.35,79.70,10.30
19261647.00,4.91,3.70,0.36,22.56,2854.00,131.52,55.90,116.90
4344151.00,1.43,0.06,5.29,26.60,21873.00,130.39,76.50,5.90
11290239.00,1.50,0.10,2.70,25.07,17765.00,126.06,77.80,6.30
5495302.00,1.89,0.20,8.54,26.13,45017.00,119.58,78.70,4.30
809639.00,3.76,2.60,0.61,23.38,2502.00,129.34,61.00,81.00
14447600.00,2.73,0.40,2.11,25.59,9244.00,122.99,74.00,26.80
78976122.00,2.95,0.06,2.51,26.73,9974.00,125.09,70.10,31.40
6004199.00,2.32,0.80,1.07,26.37,7450.00,119.93,74.10,21.60
686223.00,5.31,4.70,6.80,23.77,40143.00,132.04,56.70,118.40
4500638.00,5.16,0.80,0.08,20.89,1088.00,125.79,60.40,60.40
1339941.00,1.62,1.20,13.03,26.26,24743.00,129.52,74.00,5.50
843206.00,2.74,0.10,1.28,26.53,7129.00,127.48,65.70,24.00
5314170.00,1.85,0.10,10.64,26.73,42122.00,126.56,79.40,3.30
62309529.00,1.97,0.40,6.00,25.85,37505.00,120.01,81.00,4.30
1473741.00,4.28,5.30,1.08,24.08,15800.00,130.36,57.50,68.00
1586749.00,5.80,1.70,0.25,21.65,1566.00,130.21,62.20,87.40
4343290.00,1.79,0.10,1.42,25.55,5900.00,130.58,72.10,19.30
80665906.00,1.37,0.10,9.50,27.17,41199.00,124.90,80.00,4.40
23115919.00,4.19,1.80,0.37,22.84,2907.00,128.30,62.70,79.90
11161755.00,1.46,0.10,8.66,26.34,32197.00,122.93,79.50,4.90
14106690.00,4.12,0.80,0.84,25.30,6960.00,120.96,70.80,36.90
10427360.00,5.34,1.40,0.13,22.52,1230.00,132.28,58.30,121.00
1561293.00,5.25,2.50,0.16,21.64,1326.00,130.76,51.30,127.60
